partID,Age,Gender,Stage,Pre_SSE_1,Pre_SSE_2,Pre_SSE_3,Pre_SSE_4,Pre_SSE_5,Pre_SSE_6,Pre_SSE_7,Pre_SSE_8,Pre_SSE_9,Pre_SSE_10,Pre_SSE_11,Pre_SSE_12,Pre_SSE_13,Pre_SSE_14,Pre_SSE_15,Pre_SSE_16,Pre_SSE_17,Pre_SSE_18,Pre_SSE_19,Pre_SSE_20,Condition,Post_SSE_1,Post_SSE_2,Post_SSE_3,Post_SSE_4,Post_SSE_5,Post_SSE_6,Post_SSE_7,Post_SSE_8,Post_SSE_9,Post_SSE_10,Post_SSE_11,Post_SSE_12,Post_SSE_13,Post_SSE_14,Post_SSE_15,Post_SSE_16,Post_SSE_17,Post_SSE_18,Post_SSE_19,Post_SSE_20
120,18,2,1,2,2,0,3,4,0,0,1,3,2,0,0,1,3,4,1,4,4,4,3,2,1,1,4,3,4,0,0,1,2,1,1,0,1,3,3,0,1,4,4,1
121,19,2,2,3,3,2,4,3,2,4,4,1,4,3,3,3,2,4,4,4,2,2,3,2,2,4,4,4,3,2,4,4,1,4,4,4,1,3,4,4,3,3,3,3
130,20,1,2,3,1,3,2,3,4,3,4,3,4,4,3,4,3,4,4,2,3,3,3,2,3,1,3,2,3,3,1,4,3,4,3,3,3,3,4,4,1,3,3,3
133,27,2,1,2,3,1,2,3,1,4,2,2,3,1,1,3,1,3,4,4,3,3,4,2,1,3,1,3,4,1,4,1,2,3,1,1,3,1,3,3,3,3,3,4
134,20,2,1,0,2,1,4,4,3,3,1,0,1,0,0,2,3,3,1,3,3,1,2,2,3,1,1,4,4,3,4,4,0,4,3,3,4,0,4,4,3,4,2,3
149,20,1,1,3,1,0,2,1,1,2,2,3,1,1,1,2,2,3,2,2,2,2,3,2,3,2,0,2,2,1,2,1,3,3,1,1,2,3,2,1,2,2,2,3
159,18,1,1,3,4,2,4,4,2,4,4,2,4,3,3,4,3,4,3,4,3,3,4,2,2,4,2,3,4,2,4,4,3,3,2,2,4,3,4,3,4,3,4,4
167,20,1,2,4,4,3,3,3,2,4,4,2,4,4,3,4,3,3,4,4,3,4,4,2,0,3,0,4,4,2,4,4,3,4,3,3,4,3,3,4,4,2,4,4
169,19,2,1,2,1,1,2,2,2,1,1,1,2,1,0,1,2,3,1,1,1,0,2,2,1,2,0,2,2,2,0,1,1,3,2,0,2,1,3,2,2,1,2,2
187,19,2,1,1,4,1,4,4,1,2,2,0,4,2,1,1,2,4,4,3,4,3,3,2,2,1,2,4,4,1,1,4,1,3,2,2,1,3,3,4,3,4,4,2
